OBJECTID_1,PARKING_LO,ROTATE,CREATED_BY,CREATED_DA,MODIFIED_B,MODIFIED_D,access_type,CreationDate,Creator,EditDate,Editor,Location,LATITUDE,LONGITUDE
1,3,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2706051, -97.7476349)",30.2706051,-97.7476349
2,4,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2708855, -97.7477722)",30.2708855,-97.7477722
3,7,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2742882, -97.7460403)",30.2742882,-97.7460403
4,11,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2669678, -97.7484283)",30.2669678,-97.7484283
5,12,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2670021, -97.7480545)",30.2670021,-97.7480545
6,13,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2672024, -97.747612)",30.2672024,-97.747612
7,16,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2647915, -97.7476578)",30.2647915,-97.7476578
8,17,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2646103, -97.746933)",30.2646103,-97.746933
9,18,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2655983, -97.7462158)",30.2655983,-97.7462158
10,25,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2711315, -97.7453613)",30.2711315,-97.7453613
11,26,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2722073, -97.7422867)",30.2722073,-97.7422867
12,27,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2738743, -97.7434769)",30.2738743,-97.7434769
13,28,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2736588, -97.7437592)",30.2736588,-97.7437592
14,29,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2736588, -97.7437592)",30.2736588,-97.7437592
15,30,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2707367, -97.7407608)",30.2707367,-97.7407608
16,31,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2709217, -97.740448)",30.2709217,-97.740448
17,34,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2667999, -97.7445679)",30.2667999,-97.7445679
18,35,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2665424, -97.7441406)",30.2665424,-97.7441406
19,36,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2664967, -97.7436218)",30.2664967,-97.7436218
20,37,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2667732, -97.744072)",30.2667732,-97.744072
21,39,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2655907, -97.743988)",30.2655907,-97.743988
22,40,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2656403, -97.7446365)",30.2656403,-97.7446365
23,41,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2653408, -97.7447052)",30.2653408,-97.7447052
