OBJECTID,LOC_ID,FAC_TYP,FAC_SVC,PUB_PKG,SPACE_NO,COMMENTS,RESERV,FEE,HRLY_RATE,DLY_MAX,TM_LMT,RATE_NOTES,MO_RATE,MO_RATE_NOTES,VAL,VAL_TM,VAL_NOTES,NGHT_WKND_RATE,NGHT_WKND_RATE_NOTES,EVENT_FEE,EVENT_NOTES,HTL_FREE,GUEST_RATE,LOT_CTRL,OWN,PKG_OP,CLV_ENF,USE_TYP,MTR_LOT_NUM,LAST_UPDATE,LAST_EDITOR,SHAPE_Length,SHAPE_Area,RV TAG,Report No,SIDE,TIME_LIMIT,DAYS,LOT,ZONE_TYPE,HOURS,LMT_DISPLAY,FLAG,Fiscal year,Location 1
144,146,Surface,California Club Employees,N,206,,California Employees,,,,,,,,,,,,,,,,,Permit and Gate,,In House,N,Gaming,,,,1750.65114081573,100518.495223832,,,,,,,,,,,2017,"Under Us 95 B/T Main St &amp; Casino Center Blvd
Las Vegas, Nevada
"
146,148,Surface,CLV - Under 95 B/T 4th & LVBLVD,Y,245,Permit on portion of lot,CLV Employees & Public,N,,,,,,,NA,,,,,,,NA,,,,City of Las Vegas,Y,Government,,,,1771.11596394523,74518.2388558429,,,,,,,,,,,2017,"Under Us 95 B/T 4th St &amp; LV Blvd
Las Vegas, Nevada
"
151,154,Surface,Century Link,N,53,,Employees,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,1115.60184214697,65434.1155577893,,,,,,,,,,,2017,"Under Us 95 B/T 9th St &amp; 10th St
Las Vegas, Nevada
"
460,466,Surface,Law Office,N,4,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,203.965159562963,2486.34806758374,,,,,,,,,,,2017,"0 South Grand Central
Las Vegas, Nevada
"
479,485,Surface,CLV Parking/Marshals/Animal Control,N,85,,CLV,N,,,,,,,NA,,,,,,,NA,,Permit,,City of Las Vegas,Y,Government,,,,591.811039692848,21832.4089986273,,,,,,,,,,,2017,"Under Us 95 B/T 7th St &amp; 8th St
Las Vegas, Nevada
"
480,486,Surface,N.D.O.T Employees,N,17,,N.D.O.T,N,,,,,,,NA,,,,,,,NA,,,,City of Las Vegas,,Government,,,,590.066965717494,21726.0937693335,,,,,,,,,,,2017,"Under Us 95 B/T 7th St &amp; 8th St
Las Vegas, Nevada
"
473,479,Surface,Gold & Silver Pawn Shop,Y,40,,Customers,,,,,,,,,,,,,,,NA,,,,,NO,Retail,,,,474.008460534939,13758.7222446348,,,,,,,,,,,2017,"725 S Las Vegas Blvd
Las Vegas, Nevada
(36.161561, -115.145603)"
496,502,Surface,N.D.O.T,N,19,,Employees,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Government,,,,522.857764378428,16958.6911579501,,,,,,,,,,,2017,"Under Us 95 B/T 8th St &amp; 9th St
Las Vegas, Nevada
"
548,554,Garage,Soho Lofts,N,300,,Residents,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Residential,,,,793.423886317606,31227.4586388686,,,,,,,,,,,2017,"900 Las Vegas Blvd
Las Vegas, Nevada
"
569,576,Surface,Office  - Lou Ruvo,N,65,,Employees & Visitors,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,1018.34369982301,61289.8853591788,,,,,,,,,,,2017,"Clark Ave B/T Grand Sentral Pkwy &amp; Promenade Pl
Las Vegas, Nevada
"
1,,Parallel,,,4,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,88.6850884864855,,On Street parking,4,N,4HR,S-S,133,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"500 Ogden
Las Vegas, Nevada
"
66,,Parallel,,,6,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,10/21/2015 12:00:00 AM,JHillhouse,113.234453663785,,On Street parking,4,N,10HR,M-F,105,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"700 Ogden
Las Vegas, Nevada
"
81,,Parallel,,,13,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,287.302559998242,,On Street parking,4,N,10HR,M-F,116,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"700 E. Bridger
Las Vegas, Nevada
"
82,,Parallel,,,8,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,228.397138946102,,On Street parking,4,N,10HR,M-F,117,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"600 E. Bridger
Las Vegas, Nevada
"
83,,Parallel,,,10,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,260.12020553689,,On Street parking,4,S,10HR,M-F,118,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"600 E. Bridger
Las Vegas, Nevada
"
84,,Parallel,,,5,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,07/15/2015 12:00:00 AM,JHillhouse,108.265485656547,,On Street parking,4,N,10HR,M-F,119,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"500 E. Bridger
Las Vegas, Nevada
"
85,,Parallel,,,8,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,11/28/2016 12:00:00 AM,JHillhouse,201.689445678091,,On Street parking,4,N,4HR,S-S,56,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"400 E. Bridger
Las Vegas, Nevada
"
86,,Parallel,,,7,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,245.5629003244,,On Street parking,4,N,4HR,S-S,57,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"300 E. Bridger
Las Vegas, Nevada
"
87,,Parallel,,,6,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/13/2017 12:00:00 AM,JHillhouse,157.858666195185,,On Street parking,4,N,4HR,S-S,58,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"200 E. Bridger
Las Vegas, Nevada
"
90,,Parallel,,,8,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,168.224430089419,,On Street parking,4,S,10HR,M-F,61,,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"1 Clark
Las Vegas, Nevada
"
110,,Parallel,,,4,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,103.183918880289,,On Street parking,4,S,4HR,S-S,49,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"1 Stewart
Las Vegas, Nevada
"
